Subject Number ,M3-100818-LH,M3-100818-RH,M13-100818-LH,M13-100818-RH,M14-100818-LH,M14-100818-RH,F5-092718-LH,F5-092718-RH,F10-092718-LH,F10-092718-RH,M11-092718-LH,M11-092718-RH,M12-092718-LH,M12-092718-RH,F11-100118-LH,F11-100118-RH,F12-100118-LH,F12-100118-RH,F13-100118-LH,F13-100118-RH
1-Chlorononane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-nonanol,0.624539413,0.590085747,0,0,0.514101725,0,0,0.500433092,0,0.688575478,0.856872285,0.55855658,0.574050512,1.074576854,0,0,0,0.581426688,2.161884038,1.874895677
1-Octadecene,0,0,0,0,0,0,0,0.573010012,0,0.692658427,1.4028294,0,0,0,0,0,0.692825322,0.894853418,0.592489315,0.753984621
"2,4-Diisopropylphenol",0,0,0,0,0,0,0,0,0,0,0,0.598403,0,0,0,0,0,0,0,0
alpha-amylcinnamaldehyde,0,0,0,0,0,0,0.72925312,3.065260536,1.627104025,3.822382501,2.613465175,1.749219998,1.149189781,1.265574737,0,0,0,0,0.589845894,0
alpha-hexylcinnameldehyde,0,0,0,0,0,0,0,0.542375,0,0.498764,0.288083,0.859648,0.442191,0.540217,0,0,1.08359,0.956039,0,0.586652
Benzophenone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decanal,4.374315084,3.967214599,3.694289725,0,2.338110764,0.683285785,8.131220265,5.98266741,3.946223756,4.618168071,4.665568936,5.327151376,5.899465955,7.048403141,3.014771582,5.47250474,4.083720208,16.39409618,4.938589144,7.907244089
Dibutyl Phthalate,0,0,0,0,0,0,0,0,0,0.337070429,0.774406429,0.763050571,0.688685857,0.630974143,0,0,0,0.697072375,0,0
Dodecanoic acid,4.950224944,1.968335417,1.157115548,0,1.371106607,0,0,1.418623607,0.666808587,2.401339958,2.542375805,3.06142818,0.785489648,0.792977647,0.559174659,0,0.840529991,1.495977356,1.424180067,1.66999094
heptadecane,1.768834483,0.830364497,1.318914423,0.663482502,1.449266,0.528592884,0,0.664313,0.509064,1.084463,0.671282,0.534051,0.759839,0.84737,0,0,2.35057344,0,1.052782617,0
Hexadecane ,1.026703544,0,0.856292558,0,1.208800362,0.626700309,0,0.946078,0.525011,1.007777,0,0.727359,0.718139,0.706506,0.589937,0.662829,0.927719,0.71409,1.043986,1.343995
Hexyl salicylate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopropyl Myristate,0.917735818,0.96694095,2.933674633,0,5.57803594,0,0,0,0,0,0,0,0,0,0.874475,0,1.566838,0,1.405993,2.648069
Methyl Decanoate,0,5.692058605,0,0,0,0.794634958,0,0,0,0.5883405,0,0,0,0,1.921677,0,2.4662975,0.830503,2.7300255,0
Methyl palmitate,1.042140868,0.818620867,0.413978166,0,0.298649441,0,0,0,0,0,0,0,0,0,0,0,0,0.677496,0,0
Napthalene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonanal,1.572408088,1.549834559,1.933915441,0,1.470533088,0,0,3.857621762,3.985111508,3.785838657,7.72672921,4.670436347,5.381869428,5.186828247,2.370275946,2.878512621,2.391810749,5.542056958,3.636956995,5.06607346
Octadecane,1.999205977,0.956281116,1.136841855,0,1.28705505,0,0,0.535975,0,1.24986,0.671282,0.534051,0.759839,0.84737,25.648704,0.670331,3.374301,2.178932,29.102695,0.837225
Pentadecane,0,0,0,0,1.027994297,0,0,0,1.570422,1.839609,0,1.275785,0.536801,0.638964,0,0,0,0.690525,1.123272,1.566752
Pristane,0.663281631,0,0.559955755,0,0.61698059,0,0,0,0,0.615896,0,0,0,0,0,0,0.5466555,0,0.9059955,0.764191
Tetradecane,0,0,0,0,0,0,0,0,0,0,0,0,2.72606,2.740798,0,0,1.347453,3.114908,2.046757,0
Tetradecanoic acid,2.347639133,1.810393546,1.008169868,0,0.625230353,0,0,0.834333577,0.531473276,2.076128417,1.621208168,1.275486047,0.883028437,0.807063696,0.529298322,0,0.865915206,1.51981,1.76476721,2.867453347
Undecanoic Acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopropyl Palmitate,0.750516691,0.606584414,0,0,0,0,0,0,0,0,0,0,0,0,1.055334,0,1.469721,0,1.694087,1.225649
Isoamyl Salicylate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decanoic Acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3546409,21.5085478,10.53347115,48.10468735,25.35324724,50.06968317
Octacosane,0,0,0,0,0,0,0.643682479,0,0,0.816244196,1.616876775,2.331352456,1.608575121,1.836280859,0,0,0,0,0,0
